study_site,session,assay_id,temp,quoll_code,assay_number,arena,obs_id,section_1_o,section_2_o,section_3_o,section_4_o,section_1_d,section_2_d,section_3_d,section_4_d,moon_phase,condition,body_weight_kg,age_estimate,pes_mean_mm,head_length_mm,sex,morph,cond_n,age_n,time_processtoassay,time_assaytolight,foodo_p,foodd_p,groomo_p,groomd_p,jumpo_p,jumpd_p,legsd_p,legso_p,moved_p,moveo_p,perchd_p,percho_p,bait_p,sumsecto_p,totalacto_p,trapstress_p,bagstress_p,tablestress_p,emerge_p,i_foodd_p,s_foodd_p,i_foodo_p,s_foodo_p,i_groomd_p,s_groomd_p,i_groomo_p,s_groomo_p,i_jumpd_p,s_jumpd_p,i_jumpo_p,s_jumpo_p,i_legsd_p,s_legsd_p,i_legso_p,s_legso_p,i_moved_p,s_moved_p,i_moveo_p,s_moveo_p,i_perchd_p,s_perchd_p,i_percho_p,s_percho_p,i_bait_p,s_bait_p,i_sumsecto_p,s_sumsecto_p,i_totalacto_p,s_totalacto_p,i_trapstress_p,s_trapstress_p,i_bagstress_p,s_bagstress_p,i_tablestress_p,s_tablestress_p,i_emerge_p,s_emerge_p
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_2,-1.4276501447423031,891E8,1,Quollosseum,GoorooyarrooA_2_891E8,5,12,17,10,156.155,68.468,108.743,866.591,-1.1295138206625528,Excellent,0.94,1–2 years,54,86.9,F,Black,4,1,-0.4221806846500404,-1.0104324552081208,17.037125423422324,32.18350280561459,0.44333319398669135,9.149845398733975,22.25448704524636,88.26875347880882,257.7129336328444,76.5223593276224,121.93114316527175,99.36262978239186,41.69177732655924,4.514168547481072,3.583740154182334,31.043079794926363,220.1341033201509,0.9999999999999983,1.1644814188104036,1.2437361952969639,36.44847298499766,32.1835028056146,-32.8617734117251,17.0371254234223,-10.4129621228558,9.14984539873397,-9.46817022995238,0.443333193986691,-0.52789639565881,88.2687534788088,-40.7241086870765,22.2544870452463,-6.79599044070231,257.712933632844,12.2958234209283,76.5223593276224,-48.4807917589526,121.931143165272,-87.4966075901369,99.3626297823918,-68.1874955975661,41.6917773265592,175.848601153152,4.51416854748107,1.09943199408848,3.58374015418233,-2.42946669001862,31.0430797949264,-14.5924216479533,220.134103320151,-133.305704321647,0.999999999999998,4.71027737605132e-16,1.1644814188104,-0.134215854660044,1.24373619529696,-0.0486693000348258,36.4484729849977,-3.665568704045
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_3,-1.4276501447423031,461D6,1,Aquollpolis,GoorooyarrooA_3_461D6,4,9,11,5,203.676,298.671,130.75,566.875,-1.1295138206625528,Good,0.92,1–2 years,54.95,87.8,F,Black,3,1,-0.6071024084271402,-1.0506975249573343,18.829074850297012,37.713817876598426,0.38812165858997894,8.641188139027197,25.046969075391953,94.46540138402098,263.10203649886284,82.29110439649163,130.3533839691037,107.01958672643198,43.7548009492738,5.170608870464466,4.17504547475391,33.95426573474411,238.7454655776672,0.9999999999999983,1.1644814188104036,1.2437361952969639,35.25417877651735,37.7138178765984,-44.1874816281405,18.829074850297,-14.0084654226575,8.64118813902719,-8.39960388443827,0.388121658589979,-0.413569361849956,94.4654013840209,-52.9788328755876,25.046969075392,-12.3963287987117,263.102036498863,1.38897934362938,82.2911043964916,-60.017128297257,130.353383969104,-104.283482669465,107.019586726432,-83.4923205509224,43.7548009492738,171.177587029102,5.17060887046447,-0.241009353375815,4.17504547475391,-3.6573348702622,33.9542657347441,-20.4653112271007,238.745465577667,-170.568821784774,0.999999999999998,4.71027737605132e-16,1.1644814188104,-0.134215854660044,1.24373619529696,-0.0486693000348258,35.2541787765173,-1.3208873434405
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_4,-1.4276501447423031,5FA46,1,Quollympia,GoorooyarrooA_4_5FA46,11,15,8,3,960.111,107.465,61.232,71.637,-1.1295138206625528,Excellent,1.15,1–2 years,53.150000000000006,93.1,F,Black,4,1,-0.8312253748178066,-1.0850934489464925,20.899665513263663,44.37606787795821,0.3201175791474979,7.9965409543524935,28.270456870957645,101.41359959719288,269.44033336633424,88.91117850815766,139.95220194730166,115.79756143344778,46.7692989015304,5.956777012796603,4.907445771713197,37.35569651025438,260.15575691777104,0.9999999999999983,1.1644814188104036,1.2437361952969639,33.935441893231484,44.3760678779582,-80.5348632697598,20.8996655132637,-17.5635932319408,7.99654095435249,-2.08236761837976,0.320117579147498,0.0884936243526075,101.413599597193,-45.4936465790448,28.2704568709576,-17.6365661982502,269.440333366334,-19.6779800691297,88.9111785081577,-67.1994738624046,139.952201947302,-108.579933015269,115.797561433448,-92.1890650750869,46.7692989015304,108.245108171522,5.9567770127966,-4.12332180385556,4.9074457717132,-9.41583869907469,37.3556965102544,-29.7457248629418,260.155756917771,-198.623526547185,0.999999999999998,4.71027737605132e-16,1.1644814188104,-0.134215854660044,1.24373619529696,-0.0486693000348258,33.9354418932315,-4.6672434225976
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_5,-0.9675543634983382,87148,1,Quollosseum,GoorooyarrooA_5_87148,15,26,28,16,403.025,220.255,185.894,389.424,-1.1295138206625528,Excellent,1.39,1–2 years,61.5,97.3,M,Black,4,1,-0.43164305355676325,-1.3703612312375277,20.724180797088266,24.706408835560282,0.40280039953305113,8.862001989771752,32.82727227693831,117.29798601927692,267.3405461268001,86.35320188214642,134.70837805161773,112.54795789283317,63.5232710885212,6.193509788460519,1.9493413605245036,35.994308097191386,259.04892303699995,0.9999999999999984,1.1184114124921987,1.2162513164026298,25.482763724515628,24.7064088355603,-9.59904567777473,20.7241807970883,-10.1590408115061,8.86200198977175,-11.0568619699435,0.402800399533051,-0.664831452405872,117.297986019277,-58.9491955945753,32.8272722769383,-11.270176788475,267.3405461268,16.0016204718325,86.3532018821464,-46.2332001579841,134.708378051618,-83.5233160848224,112.547957892833,-65.4603377898047,63.5232710885212,166.955058109749,6.19350978846052,1.23213388443045,1.9493413605245,1.16004885379431,35.9943080971914,-12.6407775356317,259.048923037,-132.555453115746,0.999999999999998,1.57009245868377e-16,1.1184114124922,-0.0881458483418389,1.21625131640263,-0.0211844211404919,25.4827637245156,5.48963591126986
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_6,-0.9675543634983382,C5DDC,1,Aquollpolis,GoorooyarrooA_6_C5DDC,5,11,12,6,140.195,84.909,462.829,512.034,-1.1295138206625528,Excellent,1.57,1–2 years,60.75,94.2,M,Black,4,1,-1.063458943128521,-1.400662402370834,26.092820237284016,43.300596135913665,0.20605623156620223,6.914381921471541,41.16954698763882,134.28423125886945,284.3143354399069,103.29599302226563,158.9504215495557,134.96965238189279,74.40064843062304,8.366124707457086,4.086886686006528,44.995908208979984,314.1001935681048,0.9999999999999984,1.1184114124921987,1.2162513164026298,22.360921491945028,43.3005961359137,-62.242914407263,26.092820237284,-19.7275079539542,6.91438192147154,-3.50584128403896,0.206056231566202,-0.0124805669522346,134.284231258869,-74.0214548408079,41.1695469876388,-25.908024838604,284.314335439907,-22.2250215605442,103.295993022266,-73.1539739589836,158.950421549556,-117.189156866586,134.969652381893,-100.430809172804,74.400648430623,102.344324724263,8.36612470745708,-4.62306080727087,4.08688668600653,-6.17400483467782,44.99590820898,-31.3780080450148,314.100193568105,-223.855857298569,0.999999999999998,1.57009245868377e-16,1.1184114124922,-0.0881458483418389,1.21625131640263,-0.0211844211404919,22.360921491945,6.66051875601123
Goorooyarroo,GSBehavAssaysSUMA,GoorooA_8,-0.7375064728763558,83712,1,Quollosseum,GoorooyarrooA_8_83712,8,17,18,9,377.472,312.944,209.704,297.991,-1.1295138206625528,Good,1.62,1–2 years,61.3,101.2,M,Black,3,1,-0.42785810599407403,-1.6552195382429784,23.235364086847532,21.012764577497926,0.3931418855813427,8.950190783896362,39.17792592625372,135.6924615618583,273.3381341681086,93.75655627615365,145.22097324420838,122.50934453999372,70.5339609912765,7.072830137573454,0.9882302246246739,39.2761999283281,286.1451628524036,0.9999999999999984,1.0953764093330962,1.2025088769554628,19.100919739636993,21.0127645774979,-44.4237389184471,23.2353640868475,-18.3125700092697,8.95019078389636,-5.12867636459951,0.393141885581343,-0.15486177841795,135.692461561858,-80.404922655937,39.1779259262537,-26.1641521020939,273.338134168109,-15.5938957620082,93.7565562761536,-68.2555589115531,145.220973244208,-110.231410992558,122.509344539994,-94.1300588241071,70.5339609912765,104.511426923385,7.07283013757345,-3.85990388707523,0.988230224624674,-3.55437658560422,39.2761999283281,-28.0041169372987,286.145162852404,-210.877105512517,0.999999999999998,1.57009245868377e-16,1.0953764093331,-0.0651108451827364,1.20250887695546,-0.00744198169332472,19.100919739637,10.8781524327875
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_1,1.3329245427214864,56861,1,Quollympia,MulligansA_1_56861,17,32,39,24,289.223,219.09,374.281,314.897,0.9894494864428813,Good,0.49,<1 year,49.35,73,F,Black,3,0,-1.4435758197814486,1.8118077048070669,23.23906098498736,101.27159836027212,0.2278459951486685,8.136996649760672,72.67778101708274,140.972206002329,148.3763978143841,70.43464816313198,73.3742047298056,104.14075910698574,294.2900462543308,29.458452846713584,19.656298107454887,67.19998476375079,300.17854811405005,0.9999999999999992,1.0132023048833643,0.9471002321112951,16.61548475993222,101.271598360272,-11.5819848283822,23.2390609849874,-3.18752235219381,8.13699664976067,5.84688847098642,0.227845995148668,0.44471261658485,140.972206002329,-32.3417770176231,72.6777810170827,-27.060600950129,148.376397814384,14.7868580227924,70.434648163132,7.19947755678476,73.3742047298056,33.0599760105416,104.140759106986,6.86176905697772,294.290046254331,-188.778192374415,29.4584528467136,-11.437978413597,19.6562981074549,-4.04010541571455,67.1999847637508,-14.3189511608276,300.17854811405,-27.1801424855723,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,16.6154847599322,19.1485225007145
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_12,1.562972433343469,53527,1,Quollympia,MulligansA_12_53527,11,20,20,10,525.989,193.5,262.661,217.27,0.9894494864428813,Excellent,0.91,2–3 years,55.3,89.6,F,Black,4,2,0.044449279150068195,-0.12200757725005851,25.226804164730122,58.724690319462546,0.8103353808865666,16.163222497861476,78.65281367728917,186.58165365180093,137.5743935886273,82.40803474345445,99.64201538554752,121.39558129636575,214.3528964950044,26.359994861693252,11.793549979942535,64.48834021640432,334.85356412441945,0.9999999999999992,0.9901673017242617,0.9333577926641281,2.1947882988717633,58.7246903194625,39.3768778154757,25.2268041647301,-11.9428197878764,16.1632224978615,-6.38690951481104,0.810335380886566,-0.382463835173386,186.581653651801,-124.190093730199,78.6528136772892,-43.9280900843705,137.574393588627,17.2151857720142,82.4080347434544,-31.4818079610489,99.6420153855475,-39.3471584729121,121.395581296366,-46.8087309747855,214.352896495004,-48.6976362235672,26.3599948616932,-7.83988962411937,11.7935499799425,6.8836690066426,64.4883402164043,-18.555281543837,334.853564124419,-142.383802267374,0.999999999999999,-4.71027737605132e-16,0.990167301724261,0.173602495031548,0.933357792664128,0.159168671031956,2.19478829887176,44.6789298759382
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_13,1.562972433343469,5CB85,1,Aquollpolis,MulligansA_13_5CB85,18,30,21,9,317.462,395.891,310.5,176.031,0.9894494864428813,Good,0.91,1–2 years,52.599999999999994,86.8,F,Black,3,1,-0.13695785046167744,-0.14466520971910715,26.866336746578476,64.10262962377409,0.7549006960013778,15.631307418793504,81.20401879855224,192.0033610870684,142.63514433176556,87.63269178448482,107.19232971021628,128.31987725772095,216.9778398237561,26.99293360265912,12.39202627875962,67.19583391845953,351.77075888599705,0.9999999999999992,0.9901673017242617,0.9333577926641281,1.1737080684747798,64.1026296237741,19.0831070844707,26.8663367465785,-15.3100615689086,15.6313074187935,-3.35982609660811,0.754900696001377,-0.125548496768959,192.003361087068,-128.116221807347,81.2040187985522,-49.058406322388,142.63514433176601,3.04001740842127,87.6326917844848,-40.6585448033897,107.192329710216,-50.3297430257386,128.319877257721,-58.6627612698366,216.977839823756,-75.5340264286283,26.9929336026591,-10.0801331189273,12.3920262787596,3.9832873801625,67.1958339184595,-25.3932750324743,351.770758885997,-173.895455580219,0.999999999999999,-4.71027737605132e-16,0.990167301724261,0.173602495031548,0.933357792664128,0.159168671031956,1.17370806847478,44.6927716884582
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_14,1.3329245427214864,71872,1,Quollosseum,MulligansA_14_71872,14,25,25,13,505.506,217.695,227.216,249.507,0.9894494864428813,Good,0.51,<1 year,49.95,78.3,F,Black,3,0,1.4492055317024228,-0.6051884142406162,16.619190792537147,23.310392883615933,1.3217384521576072,22.050491660839274,63.04162304637492,162.92293065276866,104.94518228185764,58.78749986639453,70.4026061417614,90.57781212422003,153.26883003338227,21.18414959839659,7.075977781280549,48.49942121291191,251.53201388008097,0.9999999999999992,1.0132023048833643,0.9471002321112951,8.068795281929226,23.3103928836159,55.6942848787209,16.6191907925371,-6.01441795253198,22.0504916608393,-9.24858701973322,1.32173845215761,-0.643818352997248,162.922930652769,-101.356080961397,63.0416230463749,-32.3640749511305,104.945182281858,37.3595835652226,58.7874998663945,-14.6674295831594,70.4026061417614,-17.4033417039371,90.57781212422,-24.6679361952111,153.268830033382,-15.806215098417,21.1841495983966,-4.74644409468076,7.07597778128055,8.76047206041944,48.4994212129119,-8.41455549097867,251.532013880081,-83.1041211297111,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,8.06879528192922,38.1515121995494
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_16,1.3329245427214864,67D6E,1,Aquollpolis,MulligansA_16_67D6E,9,19,22,12,136.311,473.782,375.098,214.548,0.9894494864428813,Good,0.96,2–3 years,53,88.4,F,Black,3,2,1.159116336362031,-0.6596486272234504,19.36907707089061,31.961444391781697,1.234469741852731,21.23553817055539,67.32496238344143,172.30406680107137,113.28237951401994,67.6124821514284,83.24679733854711,102.28594868955375,156.81579053043671,22.20821837394493,8.013080407550873,52.989562929751216,280.035158411112,0.9999999999999992,1.0132023048833643,0.9471002321112951,6.273077258614156,31.9614443917817,-28.1972456987231,19.3690770708906,-19.9966849971926,21.2355381705554,4.8351001603799,1.23446974185273,0.526478577669104,172.304066801071,-118.743948064347,67.3249623834414,-55.9739703712456,113.28237951402,-24.4721733424069,67.6124821514284,-50.2335523743342,83.2467973385471,-56.3044271036374,102.285948689554,-70.2900360417401,156.815790530437,-157.022869400087,22.2082183739449,-15.1334764550798,8.01308040755087,-3.49317313026584,52.9895629297512,-37.5396251832613,280.035158411112,-211.101241661923,0.999999999999999,-6.2803698347351e-16,1.01320230488336,0.173602495031548,0.947100232111295,0.159168671031956,6.27307725861415,40.4244795650056
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_17,1.102876652099504,53326,1,Quollosseum,MulligansA_17_53326,2,2,1,1,1023.318,49.558,19.319,107.8,0.9894494864428813,Good,0.91,1–2 years,52.825,89.3,F,Black,3,1,1.6698139039277349,-1.0541098190038776,17.43361101085379,22.48974754005814,1.457524888309514,24.109539625327113,62.04806475092522,167.54709767471041,102.90682843141589,64.57245075644792,82.74924731620088,98.60864710547872,115.82086182141312,20.020610306996417,6.464109599283061,48.579222258666036,264.1409088190117,0.9999999999999991,1.0362373080424667,0.9608426715584621,8.905548607054998,22.4897475400581,-15.3160150414468,17.4336110108538,-16.8736500956121,24.1095396253271,1.67745358856509,1.45752488830951,0.270786286353214,167.54709767471,-109.681126206087,62.0480647509252,-48.8434063750417,102.906828431416,-10.6296147160233,64.5724507564479,-43.3275068413583,82.7492473162008,-50.1002496964455,98.6086471054787,-61.4728818189358,115.820861821413,-115.253261638991,20.0206103069964,-12.5368106040198,6.46410959928306,-1.59850642033567,48.579222258666,-31.2352647124796,264.140908819012,-182.783469448615,0.999999999999999,-3.14018491736755e-16,1.03623730804247,0.150567491872446,0.960842671558462,0.145426231584789,8.90554860705499,36.9429601191463
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_19,1.3329245427214864,525C8,1,Aquollpolis,MulligansA_19_525C8,5,6,6,4,831.516,238.914,60.874,68.676,0.9894494864428813,Fair,0.59,<1 year,48.650000000000006,74.8,M,Fawn,2,0,1.1834481421221756,-1.1024279027029333,22.282184390955805,32.491297718443576,1.2755884125202306,22.178427261856008,71.96458752292219,188.97233922482454,118.58397819854504,78.41171010447084,101.0771414105286,116.8988586617289,140.55160061895364,22.415169238084268,7.445508611382041,56.55362636856886,313.24809833068235,0.9999999999999992,1.0132023048833643,0.9471002321112951,2.4258348905047207,32.4912977184436,56.9078006419941,22.2821843909558,-2.16493794356428,22.178427261856,-8.1100040845749,1.27558841252023,-0.59742357151686,188.972339224824,-79.7301842494224,71.9645875229222,-26.2391818574894,118.583978198545,44.5751908249467,78.4117101044708,-0.483190268726416,101.077141410529,5.90717489844773,116.898858661729,-5.48931419406011,140.551600618954,-36.1079448246501,22.4151692380843,-4.42077908139371,7.44550861138204,8.10322596887202,56.5536263685688,-3.63397766982317,313.248098330682,-39.3948269167508,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,2.42583489050472,33.1832645619144
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_20,1.3329245427214864,88B4C,1,Quollosseum,MulligansA_20_88B4C,6,12,16,10,109.354,112.588,157.264,820.751,0.9894494864428813,Good,1.13,1–2 years,55.7,88.7,F,Black,3,1,1.3140288330349525,-1.3448372717693826,22.920176091576423,29.346236036341182,1.3350386909325396,23.067088580077442,73.01923931469928,195.16468207426584,118.41170201965866,81.32461194568995,106.57733130169187,120.9337895401719,129.42793976475735,22.12893148429193,6.731921517360484,56.88376980910839,321.6617870673621,0.9999999999999992,1.0132023048833643,0.9471002321112951,0.8487065521437795,29.3462360363412,41.4529745631409,22.9201760915764,-14.3725536256693,23.0670885800774,-9.29286303274094,1.33503869093254,-0.565015442819813,195.164682074266,-139.264360290499,73.0192393146993,-45.5255062173228,118.411702019659,16.9472535552401,81.32461194569,-43.5151544996288,106.577331301692,-62.338538178403,120.933789540172,-63.3388951180502,129.427939764757,1.36113478874681,22.1289314842919,-6.63358916307017,6.73192151736048,8.09020673503319,56.8837698091084,-20.3973727244054,321.661787067362,-173.950714066561,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,0.848706552143778,46.3244317639212
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_5,1.3329245427214864,84B2F,1,Quollympia,MulligansA_5_84B2F,19,37,38,20,326.461,162.883,386.042,324.501,0.9894494864428813,Excellent,0.91,1–2 years,54.900000000000006,81.4,F,Black,4,1,-0.41298866914065246,1.0294369258155762,20.327499320300262,73.2761024678176,0.6116109378309985,12.939964576333006,68.36521330022093,145.72111570601496,131.8476407960009,64.25481018537388,68.9886656967882,96.56481376735157,246.85898449744232,26.459108248725773,15.260448102362826,59.84431346029735,276.5830557598034,0.9999999999999992,1.0132023048833643,0.9471002321112951,14.274064675496147,73.2761024678176,-13.1461957974277,20.3274993203003,-6.25831564375887,12.939964576333,5.06332970710892,0.611610937830998,0.4169246997352,145.721115706015,-49.1284243670283,68.3652133002209,-31.9394829447374,131.847640796001,8.78709446421061,64.2548101853739,-4.0153794735823,68.9886656967882,14.7564196438655,96.5648137673515,-8.28475744953293,246.858984497442,-173.965538260211,26.4591082487258,-11.7583802257931,15.2604481023628,-3.62353788891641,59.8443134602973,-18.2148373253154,276.583055759803,-61.8393910376692,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,14.2740646754961,22.9774895687432
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_6,1.3329245427214864,61888,1,Aquollpolis,MulligansA_6_61888,11,21,23,12,667.75,141.699,240.218,148.468,0.9894494864428813,Excellent,1.09,2–3 years,56.2,87.9,F,Black,4,2,-0.6684726296221719,1.0062333262990801,22.57534486024898,80.82566659876386,0.5328819487735291,12.17382424555849,71.86090464616957,153.01704607829387,138.85813936048078,71.38835548619528,79.25414145872287,106.01311076662284,250.8665525967933,27.344805514037322,16.112825899495782,63.58070794485633,299.7154032220476,0.9999999999999992,1.0132023048833643,0.9471002321112951,12.913836243186093,80.8256665987638,-19.1695049216742,22.575344860249,-9.98977770061498,12.1738242455585,4.97355470714543,0.532881948773529,0.446928987502941,153.017046078294,-66.3133145631147,71.8609046461695,-37.8193157017121,138.858139360481,-0.189083774507272,71.3883554861953,-16.9505691619797,79.2541414587228,-5.46846225153969,106.013110766623,-25.6349313948779,250.866552596793,-165.52519961849,27.3448055140373,-12.5668627900337,16.1128258994958,-3.86229918445365,63.5807079448563,-23.5183020787608,299.715403222048,-102.514527761715,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,12.9138362431861,26.7016475058663
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_7,1.3329245427214864,5597A,1,Aquollpolis,MulligansA_7_5597A,3,4,8,6,325.318,29.116,64.912,780.634,0.9894494864428813,Good,0.33,<1 year,43.9,77.3,F,Black,3,0,-0.3107950849480447,0.5836548315751349,22.626347344789092,71.53340997210617,0.6774843649140107,14.136038801548816,72.0520615633487,160.55896126566566,135.1478485729183,73.1398769033573,84.11629027627897,108.64944570354822,229.01386610941805,26.402727320618048,14.422092265910875,62.358411544430304,303.5479432005754,0.9999999999999992,1.0132023048833643,0.9471002321112951,10.75133508634583,71.5334099721061,22.6119705738016,22.6263473447891,1.68715384680542,14.1360388015488,2.05020711410568,0.67748436491401,0.10760354689809,160.558961265666,-31.2020945475881,72.0520615633487,-21.9925814645025,135.147848572918,34.1522540903198,73.1398769033573,22.2786533510239,84.116290276279,53.4917117122969,108.649445703548,26.4878088568629,229.013866109418,-169.417289499406,26.402727320618,-8.82816737701552,14.4220922659109,0.75067726922219,62.3584115444303,-4.53750222515441,303.547943200575,19.7404707600726,0.999999999999999,-6.2803698347351e-16,1.01320230488336,0.173602495031548,0.947100232111295,0.159168671031956,10.7513350863458,22.3436263539402
